Nintendo	Nintendo	PC	Sony	Nintendo	Nintendo	Nintendo	Nintendo	Nintendo	Nintendo	Nintendo	Nintendo	Nintendo	Sony	Sony	Sinclair	Commodore	Sega	Sony	NEC	SNK	Sega	Sega	Sony	Microsoft	Microsoft	Pico-8	Arcade
Snowboard Kids		Narita Boy		Fastest Lap	Godzilla: Domination	Monster Party	 Soul Blazer		Mushroom Men the Spore Wars	Ontomarama	Sadame		Ultimate Ghosts n Goblins		OVERLANDER	Qwak	Gain Ground	Flower, Sun, and Rain		Rage of the Dragons		Gundam Side Story: 0079	Geikido	Judge Dredd: Dredd vs. Death			Koutetso Yousai Strahl
Snowboard Kids 2		Nidus		Fighting Simulator 2-in-1: Flying Warriors	Golden sun	Mr. Gimmick	 Sparkster		MX vs ATV Untamed	Picross DS	Sega 3D Classics		Umihara Kawase Portable		Quazatron	Dynablaster	Garfield: Caught in the Act	Freedom Fighters		Samurai Shodown Series		Headhunter	Ghost In The Shell	Kung Fu Chaos			Kyukyoku Sentai Dadandarn (Monster Maulers)
Space Station Silicon Valley		offroad mechanic simulator		Flipull	Goodboy Galaxy	Ninja Gaiden	 Spider-Man - Venom		Need For Speed Nitro	Point Blank DS	Shantae and the Pirate's Curse		Valkyria Chronicles II		PIPPO	No Second Prize	Gauntlet IV	Frequency		Savage Reign		Heavy Metal: Geomatrix	Gradius Gaiden	Mace Griffin: Bounty Hunter			Lethal Crash Racer
Star Wars Episode I: Battle for Naboo		Pampas & Selene: The Maze of Demons		Gameboy Wars Turbo	Gradius Galaxies	Ninja Gaiden II: The Dark Sword of Chaos	 Star Fox		No More Heroes 1 & 2	Retro Game Challenge	Shin Megami Tensei IV		What Did I Do to Deserve This My Lord 2		Pyjamarama	Stardust	Gemfire	Gadget Racers (Choro Q HG)		Sengoku 3		House of the Dead 2	Gran Turismo 2	Madden			Lethal Thunder
StarCraft 64		Paradise Killer		Gamera	GT Advance Series	Ninja Gaiden III: The Ancient Ship of Doom	 Street Fighter Alpha 2		Overlord Dark Legend	Rhapsody	Shin Megami Tensei: Devil Survivor Overclocked		Wild Arms XF		R-type		General Chaos	Galactic Wrestling		Shock Troopers		Hydro Thunder	Guardians Crusade	Marc Ecko’s Getting Up: Contents Under Pressure			Lock On
Tetris 64		Path Of Achra		Gargoyle’s Quest	Guilty Gear X	Platoon	 Street Fighter II Turbo		Pandora's Tower	Ripened Tingle's Balloon Trip of Love	Shin Megami Tensei: Strange Journey Redux		WTF - Work Time Fun		Rainbow islands		Ghouls N Ghosts	Garou: Mark of the Wolves (Fatal Fury: MOTW)		Shock Troopers: 2nd Squad		Ikaruga	Guilty Gear	Marvel: Ultimate Alliance			Mappy
Tetrisphere		pedestrian		Gensan 2	gunstar future heroes	Punch-Out!! Featuring Mr. Dream	 Stunt Race FX		Penguins of Madagascar	Rune Factory	Shinobi 3D		Yggdra Union		RANARAMA		Gleylancer	Genji: Dawn of the Samurai		Soccer Brawl		Illbleed	Gundam Battle Assault	MechAssault			Metal Hawk
The New Tetris		Phoenotopia Awakening		Gourmet Paradise	Gunstar Super Heroes	R.C. Pro-Am	 Sunset Riders		Pirate vs Ninja dodgeball	Rune Factory 3: A Fantasy Harvest Moon	SMT Devil Summoner Soul Hackers		Ys Seven		Revolution		Golden Axe	Ghosthunter		Spinmaster		Incoming	Gunners Heaven/Rapid Reload	Mercenaries: Playground of Destruction			Mille Miglia - The Great 1000 Mile Rally
Top Gear Overdrive		Rain on Your Parade		Great Greed	Hi Hi Puff Amiyumi: Kaznapped	Ring King	 Super Bomberman		Pirates Plundarrr	Sands of Destruction	SMT IV Apocalypse		Z.H.P. - Unlosing Ranger vs. Darkdeath Evilman		Rick Dangerous		Granada	Gigawing: Generations		Street Hoops		Iron Aces	Harmful Park	Metal Arms: Glitch in the System			Mystic Warriors
Top Gear Rally		Rain World		Hammerin’ Harry: Ghost Building Company	Hot Potato	River City Ransom	 Super Bomberman 2		Pitfall: The Big Adventure	Shin Megami Tensei: Strange Journey	SMT Strange Journey Redux				Robocop 2		Gunstar Heroes	Gitaroo Man		Strikers 1945+		Jet Coaster Dream	Heart of Darkness	Myst IV			Name That Tune
Turok 3: Shadow of Oblivion		Raw Metal		Hamtaro: Ham-Hams Unite!	Invader	Robo Warrior	 Super Double Dragon		Red Steel 2	Shinobi 3D	SteamWorld Dig 2				ROCK STAR ATE MY HAMSTER		Gynoug	Goblin Commander: Unleash the Horde		Super Baseball 2020		Jet Coaster Dream 2	Hercs Adventure	NBA Live			Nebulous Ray
Vigilante 8		Retro Machina		Heiankyo Alien	Iridion II	Shatterhand	 Super Ghouls'n Ghosts		Rhythm Heaven Fever	SMT Strange Journey	SteamWorld Heist				RUN THE GAUNTLET		Gyrus	God Hand		Super Dodgeball		Jet Grind Radio	Incredible Crisis	Nightcaster			Night Slashers
Wetrix		reus		Ikari no Yousai 2	It’s Mr. Pants	Smash TV	 Super Punch-Out!!		Rodea The Sky Soldier	SNK Vs. Capcom: Card Fighters DS	Stella Glow				SHOCKWAY RIDER		Herzog Zwei	Graffiti Kingdom		SVC Chaos: SNK vs. Capcom		Jet Set Radio	Intelligent Qube	Ninja Gaiden			Numan Athletics
World Driver Championship		reus 2		Inspector Gadget	Jackie Chan adventures	Solar Jetman	 Super Star Wars		Roogoo: Twisted Towers	Solatorobo: Red The Hunter	Super Pokémon Rumble				Sentinel		Jungle Strike	Grand Prix Challenge		Thrash Rally		JoJos Bizzarre Adventure	IS: Internal Section	Obscure			Omega Fighter
		Robobeat		Jida Igeki	James Bond	StarTropics	 Super Star Wars - Return of the Jedi		Rooms	Soul Bubbles	Tales Of The Abyss				Space crusede		Kid Chameleon	Gregory Horror Show		Top Hunter – Roddy & Cathy		Karous	Jade Cocoon: Story of the Tamamayu	Oddworld: Munch’s Oddysee			Oni: The Ninja Master
		Saviorless		Kaeru no Tameni Kaneha Naru	Jet Grind Radio	Street Fighter 2010: The Final Fight	 Super Star Wars - The Empire Strikes Back		Rubik's world	Soul of darkness	The Amazing Spider-Man				SOFTWARE STAR		King of Monsters	GrimGrimoire		Twinkle Star Sprites		King of Fighters	Jumping Flash 2	Oddworld: Stranger’s Wrath			Osman
		Sayonara Wild Hearts		Karumuu-Cho No Daijiken	Karnaaj Rally	Super C	 Super Tennis		Secret Files Tunguska	Sprung	The World Ends With You				Spellbound		Klax	Growlanser Generations		Viewpoint		Lack of Love	Kagero: Deception II	Operation Flashpoint: Elite			Pachinko Sexy Reaction
		ScourgeBringer		Kid Dracula	Kill.switch	Tecmo Super Bowl	 Super Turrican 2		Shaun White Snowboarding	Super dodgeball brawlers	Theatrhythm: Final Fantasy				SPLIT PERSONALITIES		Landstalker	Gungrave		Voltage Fighter Gowgaizer		Legacy of Kain: Soul Reaver	Kaitei Daisensou/In The Hunt	Otogi			Pacman
		Sonar Shock		Kingdom Crusade / Legend of Prince Valiant	Kim Possible 2: Drakken’s Demise	Teenage Mutant Ninja Turtles II: The Arcade Game	 Teenage Mutant Ninja Turtles IV		Shiren the Wanderer	Tales of the tempest	Tom Clancy's Ghost Recon: Shadow Wars				SUPER SCRAMBLE SIMULATOR		Langrisser 2	Gungrave Overdose		Waku Waku 7		Looney Tunes: Space Race	Kartia: The Word of Fate/Legend of Kartia	Otogi 2			Puzzle & Action Tant-R
		Spookware		Knight Quest	Kingdom Hearts: Chain of Memories	Teenage Mutant Ninja Turtles III: The Manhattan Project	 Tetris Attack (USA)		Sin & Punishment Star Successor	The legendary Starfy	VVVVVV				Sweevo’s World		Light Crusader	Gungriffon Blaze		Windjammers (Flying Power Disk)		Maken X	Klonoa: Door to Phantomile	Outrun 2			Quantum
		superliminal		Kung-Fu Master	Klonoa 2: Dream Champ Tournament	Tetris	 Tiny Toon Adventures		Spectrobes Origins	The Wizard of Oz: Beyond the Yellow Brick Road	Xenoblade Chronicles 3DS				TECHNO COP		Madden Football	Half Life		World Heroes Perfect		Mars Matrix	Koudelka	Panzer Dragoon Orta			Rabbit
		Surmount		Legend of the River King	Klonoa: Empire of Dreams	The Bugs Bunny Birthday Blowout	 Top Gear 2		Speed Racer the Video Game	The World Ends With You	Yo Kai Watch Series				The great escape		Marvel Land	Haunting Ground / Demonto		Zed Blade / Operation Ragnarok		Marvel vs Capcom	Legend of Dragoon	Pariah			Racing Hero
		talos principle		Link to the Past	Konami Krazy Racers	The Guardian Legend	 U.N. Squadron		Spiderman the edge of time	Theatrhythm: Final Fantasy					THE MUNCHER		Masters of Monsters	Headhunter		Zintrick		Marvel vs. Capcom 2: New Age of Heroes	Little Big Adventure 2	Phantasy Star Online: Episodes I & II			Rally-X
		The Crackpet Show		Little Sound DJ (LSDJ)	Konjiki no Gash Bell!! Yuujou no Dengeki Dream Tag Tournament	Tiny Toon Adventures	 Ultimate Mortal Kombat 3		Star wars the force unleashed	Touch the Dead					The Rocky Horror Show		Mazin Saga: Mutant Fighter	Heatseeker		ZuPaPa!		MDK 2	Little Big Adventure	Phantom Crash			Risky Challenge
		The Land Beneath Us		Lock ’n Chase	kuru in paradise	Willow	 Uniracers		Tack of the movies 3d	Tokyo Beat Down					Three weeks in paradise		Mega Bomberman	Heavenly Guardian				Metropolis Street Racer	Looney Tunes Racing	Phantom Dust			Slipstream
		The Tower On The Borderland		Looney Tunes	Kuru Kuru Kururin	Xexyz	 X-Men - Mutant Apocalypse		The Kore Gang	Zoo Keeper					THUNDERBIRDS		Mega Turrican	Herdy Gerdy				Mr Driller	Looney Tunes: Sheep Raider	Pirates!			Sōkyūgurentai
		the witness		Looney Tunes Collector: Alert!	Lady Sia	Zoda’s Revenge: Star Tropics 2	 Zombies Ate My Neighbors		The Munchables						TRACK SUIT MANAGER		MERCS	Hokuto No Ken (Fist of the North Star)				Ms Pacman Maze Madness	Magic Carpet	Prince of Persia			Stargate
		Tiny Breakers Camp		Looney Tunes: Carrot Crazy	Lunar Legend				Thor god of thunder						TRANTOR: THE LAST STORMTROOPER		Mickey Mania	Ibara				Napple Tale: Arsia in Daydream	Marvel vs Capcom	Prisoner of War			Strike Force
		Ultros		Looney Tunes: Marvin Strikes Back!	Medal of Honor: Infiltrator				Top Shot Arcade						TRAP DOOR		Monster World IV	Ico				NBA 2K2	MDK	Psi-Ops			Team Hat Trick
		Venture To The Vile		LSDJ	Mobile Suit Gundam SEED: Battle Assault				Tornado Outbreak						TRAVEL WITH TRASHMAN		Mortal Kombat Series	In the Groove				NBA Showtime NBA on NBC	Megaman	Psychonauts			Tenkmori Shooting
		VIDEOVERSE		Lucle	Moto Racer Advance				Trackmania						TURBO ESPRIT		Ms. Pac-Man	Indigo Prophecy / Fahrenheit				NFL 2K2	Motor Toon Grand Prix	Puyo Pop Fever			The Cliffhanger: Edward Randy
		WE KILL MONSTERS		Macross 7: Ginga no Heart o Furuwa Sero!!	Mr. Driller 2				TV show king						VALHALLA		Musha a Last	Jade Cocoon 2				NFL Blitz 2001	Mr. Driller	Red Dead Revolver			The Outfoxies
		Wildmender		Magic Knight Rayearth	Muppet Pinball Mayhem				Vertigo						WRIGGLER		Mutant League Football	Kill.switch				NHL 2K2	Ms. Pac-Man Maze Madness	Roadkill			The Super Spy
		Windowkill		Magical Chase	Nicktoons racing				Wicked Monsters Blast!								Mutant League Hockey	Killer 7				OoogaBooga	N20 Nitrous Oxide	Robotech: Battlecry			Thunder Ceptor
		Withering Rooms		Maskrider SD	Ninja Five-O				World of zoo								NBA Jam TE	Kim Possible: What’s the Switch				Outtrigger	Nanotek Warrior	Rogue Trooper			Touki Densyou Angel Eyes
		World of Horror		megaman 3	One piece				Zack & Wiki								NFL With Joe Montana	King’s Field: The Ancient City				Pen Pen TriIcelon	Nectaris: Military Madness	Second Sight			Undercover Cops
		Yuppie Psycho		Metal Walker	Onimusha Tactics												Outlander	Klonoa 2: Lunatea’s Veil				Phantasy Star Online	Night Raid	Sega Soccer Slam			Uo Poko
		Yoku's island express		Mickey’s Speedway USA	Pinball of the Dead												OutRun	Kya: Dark Lineage				Plasma Sword	No One Can Stop Mr. Domino	Shadow of Memories			Violent Storm
				Microsoft Puzzle Collection	Puyo Pop												Outrun 2019	La Pucelle Tactics				Power Stone	Omega Boost	Shenmue II			Viper Phase 1 (New Version)
				Miner 2049er	Racing Gears Advance												Outrunners	Legend of Kay				Power Stone 2	Ore no Ryouri	Silent Hill			Voltage Fighter Gowcaizer
				Mole Mania	Rampage Puzzle Attack												Pac-Attack	Mad Maestro				Pro Pinball Trilogy	Pandemonium	Sniper Elite			War-Zard
				Momotarou Dengeki 1 & 2	Rescue Heroes												Panorama Cotton	Magic Pengel: The Quest for Color				Project Justice	Panzer Bandit	Sonic the Hedgehog			Wing Force
				Monster Max	River City Ransom EX												Phantasy Star II	Makai Kingdom: Chronicles of the Sacred Tome				Propeller Arena	Persona	Soul Calibur II			X-Multiply
				Montezuma’s Return	Riviera: The Promised Land												Phantasy Star III	Mark of Kri				Psychic Force 2012	Persona 2: Eternal Punishment	Spartan: Total Warrior			Xevious
				Nail ’n Scale	Robopon 2												Phantasy Star IV	MDK2 Armageddon				Psyvariar II	Philosoma	Spiderman			Xexex
				Namco Gallery Vol.3 (Sky Kid)	Rock ‘n Roll Racing												Phantom 2040	Mercury Meltdown Remix				Puyo Puyo Fever	Pocket Fighter/Super Game Fighter	Splinter Cell			Yellow Cab
				NanoLoop	Sabre Wulf												Populous	Metal Arms: Glitch in the System				Quake 3 Arena	Pong: The Next Level	Spy Hunter			Zaviga
				Nekketsu Kouha Kunio Kun	Samurai Deeper Kyo												Puggsy	Mister Mosquito				Radirgy	Pop'n Tanks	Spyro			
				nemesis 2	Scurge: Hive												Pulseman	MLB Power Pros				Rainbow Cotton	Poy Poy	Star Wars			
				Nettou King of Fighters ’96	Shaman King: Master of Spirits												Quackshot Starring Donald Duck	Mobile Light Force 2				Rayman 2	Pro Pinball	Steel Battalion			
				Ninja Boy 2	Shining Force: Resurrection of the Dark Dragon												Rainbow islands extra	Mojib Ribbon				Ready 2 Rumble Boxing	Psychic Force	Still Life			
				Ninja Gaiden Shadow	Shining Soul												Rambo III	Mojo				Record of the Lodoss War	R-Type Delta	Street Fighter Series			
				Ninja Spirit	Sigma Star Saga												Ranger X	Mortal Kombat Shaolin Monks				Red Dog: Superior Firepower	R/C Stunt Copter	Stubbs the Zombie: Rebel Without A Pulse			
				Ninja Taro	Silent Scope												Red Zone	MotoGP 3				Rent a Hero No. 1	Raiden	Sudeki			
				Noobow	Spiderman: The Movie												Revenge of Shinobi	Mushihime-sama				Resident Evil 2	Rakugaki Showtime	Syberia			
				operation c	Star Wars Episode III: Revenge of the Sith												Rings of Power	Naval Ops: Commander				Resident Evil 3	Ray Crisis Series Termination	Syberia II			
				Painter Momo Pie	Stuntman												Ristar	Neo-Geo Battle Coliseum				Resident Evil Code: Veronica	Rayman	Tao Feng: Fist of the Lotus			
				Peetan	Summon Night: Swordcraft Story												Road Blasters	Nightmare of Druaga				Revolt	RayStorm	The Bard’s Tale			
				Pokemon Puzzle Challenge	Summon Night: Swordcraft Story 2												Road Rash	NiGHTS in Dreams				Rez	Raytracers	The Incredible Hulk: Ultimate Destruction			
				Power Mission	Super Bust-A-Move												Rock N Roll Racing	Okage Shadow King				Sakura Taisen: Hanagumi Taisen Columns 2	RC de GO!	The Punisher			
				Puzzle Boy 1 & 2	Super Ghouls ‘n Ghosts												Rocket Knight Adventures	OutRun 2006: Coast 2 Coast				Samba De Amigo	Resident Evil	Thief: Deadly Shadows			
				Puzzle Master	Super Monkey Ball Jr.												Rolling Thunder 2	Phantom Brave				San Francisco Rush 2049	Return Fire	Timesplitters			
				Qix	Super Puzzle Fighter II												Rolling Thunder 3	Pinball Hall of Fame				Seaman	Rhapsody: A Musical Adventure	TimeSplitters: Future Perfect			
				Quarth	Sword of Mana												Sagaia/ Darius 2	Primal				Sega Bass Fishing 2	Ridge Racer	ToeJam & Earl III: Mission to Earth			
				Racin’ Ratz	Tactics Ogre: The Knight of Lodis												Samurai Shodown	Pro Race Driver				Sega GT	Rising Zan: The Samurai Gunman	Tron 2.0: Killer App			
				Rampart	Tales of Phantasia												Saturday Night Slam Masters	Project: Snowblind				Sega Marine Fishing	Rival Schools: United by Fate	Vexx			
				Rats!	The Lord of the Rings: Return of the king												Shadowrun	Psi-Ops: The Mindgate Conspiracy				Sega Rally Championship 2	Rogue Trip	Voodoo Vince			
				Ray-Thunder	The Lost Vikings												Shining Force	Psychonauts				Sega Swirl	Roll Away	Whiplash			
				Revenge of the ‘Gator	The Simpsons: Road Rage												Shining Force II	Psyvariar 2: Ultimate Final				SegaGaGa	Rollcage Stage 2	X-Men Legends			
				Rolan’s Curse	TMNT												Shining in the Darkness	Psyvariar Complete				Shadow Man	SaGa Frontier	X2: Wolverine’s Revenge			
				Rolan’s Curse II	Tokyo Xtreme Racer Advance												Skitchin	R.A.D. (Robot Alchemic Drive)				Shenmue	SaGa Frontier 2				
				Sabrina the Animated Series: Zapped!	Tom Clancy’s Splinter Cell												Snow Bros	Radiata Stories				Shenmue 2	Saiyuki: Journey West				
				Sagaia	Turbo Turtle Adventure												Soldiers of Fortune	Raiden III				Silver	Samurai Deeper Kyo				
				Samurai Showdown	Ultimate Brain Games												Sonic the Hedgehog	Raw Danger				Skies of Arcadia	Samurai Shodown RPG				
				shadow warrior	Ultimate Card Games												Spare Harrier 2	Ring of Red				Sonic Adventure	Sheep				
				Shanghai	Urban Yeti												Splatterhouse Series	Road Trip (Choro Q HG 2)				Sonic Adventure 2	Silent Bomber				
				Shanghai Pocket	V-Rallye 3												Starflight	Robotech: Battlecry				Soul Calibur	Silhouette Mirage				
				Shantae	X2: Wolverine’s Revenge												Steel Empire	Rumble Racing				Space Channel 5	Sim Theme Park				
				Shikinjou	Yggdra Union												Stormlord	Rygar: The Legendary Adventure				Star Wars: Episode I Racer	Skullmonkeys				
				Snoopy: Magic Show	Zoids: Legacy												Street Fighter II: SCE	Samurai Legend Musashi				Starlancer	Slap Happy Rhythm Busters				
				Snow Bros. Jr	Zone of the Enders: Fist of Mars												Streets of Rage Series	Second Sight				Street Fighter Alpha 3	Sled Storm				
				snow brothers													Strider	Sega Soccer Slam				Street Fighter III: Third Strike	Sonic Wings Special				
				Solar Striker													Sub-Terrania	Shadow Hearts: Covenant				Stupid Invaders	Soukyugurentai (Terra Driver)				
				solomon's club													Super Baseball 2020	Shadow Of Destiny / Shadow of Memories				Super Puzzle Fighter 2 X	Soul Blade				
				Soul caliber													Super Fantasy Zone	Shadow of Rome				Sword of the Berserk: Guts’ Rage	Speed Power Gunbike				
				Spanky’s Quest													Super Monaco GP	Shin Megami Tensei: Digital Devil Saga				Tech Romancer	Speed Punks				
				Spy vs. Spy: Operation Boobytrap													Super Thunder Blade	Shin Megami Tensei: Persona 3 FES				Tee Off Golf	Star Gladiator				
				Super puzzle fighter 2													Supremacy	Silpheed Lost Planet				Test Drive LeMans	Star Ocean: The Second Story				
				Survival Kids													Target Earth (Assault Suit Leynos)	Sky Gunner				The Last Blade 2	Street Fighter Alpha				
				SWIV													Taz-Mania	Sky Odyssey				The Lost Golem (Golem No Maigo)	Strider 2				
				Sword of Hope 1 & 2													Techno-Cop	Space Channel 5: Special Edition				Tokyo Bus Guide	Strikers 1945				
				tetris plus													Test Drive: The Duel	Sphinx and the Cursed Mummy				Tokyo Xtreme Racer: 2	Strikers 1945 II				
				The King of Fighters ’95													The Lost Vikings	Star Wars Racer Revenge				Tom Clancy’s Rainbow Six	Super Puzzle Fighter II Turbo				
				Toki Tori													The Ooze	Steambot Chronicles				Tony Hawk	Tactics Ogre				
				Tom and Jerry in Mouse Attacks													The Punisher	Stella Deus				Toy Commander	Tail Concerto				
				Trax													Thunder Force Series	Stretch Panic				Triggerheart Exelica	Team Buddies				
				Trip World													TMNT: The Hyperstone Heist	Summoner				Trizeal	Tekken 3				
				Trouballs/Puzz Loop													TMNT: Tournament Fighters	Summoner 2				Twinkle Star Sprites	Tempest X/Tempest 2000				
				Tumble Pop													Toe Jam & Earl	Swing Away Golf				Typing of The Dead	The Next Tetris				
				Tweety’s High-Flying Adventure													Top Gear 2	Syberia II				Ultimate Fighting Championship	Thousand Arms				
				Ultraman Ball													Truxton	Taiko Drum Master				Under Defeat	Thrasher: Skate and Destroy				
				Uno: Small World													Twinkle Tale	Tales of Legendia				Unreal Tournement	Threads of Fate				
				Vattle Giuce													Vectorman	Tales of the Abyss				V-Rally 2	Thunder Force V				
				Wacky Races													Viewpoint	Technic Beat				Vampire Chronicles	Tiny Tank: Up Your Arsenal				
				Warlocked													Virtua Racing	The Grim Adventures of Billy & Mandy				Vanishing Point	Tobal No. 1				
				Wendy: Every Witch Way													Virtual Bart	The King of Fighters ’94: Rebout				Vigilante 8: Second Offense	Tomb Raider				
				Woody Woodpecker Racing													Warsong (Langrisser 1)	The King of Fighters XI				Virtua Fighter 3tb	Tomba!				
				World Heroes 2 Jet													Weaponlord	The Punisher				Virtua Tennis	Tomba! 2				
				X-men mutant academy 2													Wiz 'n' Liz	The Red Star				Virtua Tennis 2	Trap Gunner				
				Yuu Yuu Hakusho series													Wonderboy	Tokyo Xtreme Racer Drift 2				Virtual On: Oratorio Tangram	Twinbee Yahoo Deluxe Pack				
																	World of Illusion	Transformers (not the movie game)				Wacky Races	Umihara Kawase Syun				
																	World Series Baseball	Trapt / Kagero 2: Dark Illusion				Wetrix	Unholy War				
																	X-Men	Tribes Aerial Assault				Wild Metal	Vacuum Kids / Kyuinn				
																	X-Men 2: Clone Wars	Twinkle Star Sprites: La Petite Princesse				World Series Baseball 2K2	Vandal Hearts				
																	Yu Yu Hakusho: Makyo Toitsusen	Urban Chaos: Riot Response				Worms World Party	Vandal Hearts 2				
																	Zany Golf	Urban Reign				Yu Suzuki Gameworks	Vanguard Bandits				
																	Zero Wing	V-Rally 3				Zero Gunner 2	Vib Ribbon				
																	Zombies Ate My Neighbors	Valkyrie Profile 2: Silmeria					Viewpoint				
																	Zoop	Vib Ripple					Warhawk				
																		Victorious Boxers 1 & 2					Wild 9				
																		War of the Monsters					Wipeout				
																		Warship Gunner 2					Wolf Fang				
																		Way of the Samurai					X-COM: UFO Defense				
																		Wizardry: Tale of the Forsaken Land					Zanac X Zanac				
																		WRC: World Rally Championship					Zero Divide				
																		XIII									
																		Ys: The Ark of Napishtim									
																		Zone of the Enders									
																		Zone of the Enders: The 2nd Runner									